ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
13191	"XLOC_046910"	"ABPARTS"	chr6	+	70722396	70722599	70718901	70719377	70726434	70727142	13191	1320	166	5022	1343	97	49	0.0	0.0	0.801	0.654	0.147
19150	"XLOC_012874"	"ABPARTS"	chr12	-	113426654	113426787	113422415	113422730	113428513	113428566	19150	812	239	2723	334	97	49	0.0	0.0	0.632	0.805	-0.173
3977	"XLOC_009508"	"UBB"	chr11	-	62552577	62552737	62551503	62552349	62552805	62553309	3977	0	781	77	601	97	49	0.0	0.0	0.0	0.061	-0.061
9256	"XLOC_026582"	"CD74"	chr18	+	60810327	60810343	60809983	60810074	60811876	60811921	9256	4130	0	20810	2125	64	49	0.0	0.0	1.0	0.882	0.118
19226	"XLOC_007295"	"AP1B1"	chr11	+	5023096	5023230	5019280	5019502	5024371	5024467	19226	13	23	94	0	97	49	1.11022302463e-16	1.75341223023e-13	0.222	1.0	-0.778
4184	"XLOC_035767"	"TPM3"	chr3	+	90091012	90091091	90090009	90090079	90099527	90100927	4184	83	0	692	402	97	49	1.11022302463e-16	1.75341223023e-13	1.0	0.465	0.535
13123	"XLOC_040404"	"PAX5"	chr4	-	44697521	44697687	44691834	44692032	44710362	44710418	13123	251	64	1600	95	97	49	4.55191440096e-15	6.16199155193e-12	0.665	0.895	-0.23
19795	"XLOC_008136"	"DHRS13"	chr11	+	78053358	78053453	78049477	78049559	78054784	78054875	19795	9	0	0	169	97	49	1.86517468137e-14	1.96382169785e-11	1.0	0.0	1.0
19802	"XLOC_008136"	"DHRS13"	chr11	+	78053362	78053453	78049477	78049559	78054784	78054875	19802	9	0	0	169	97	49	1.86517468137e-14	1.96382169785e-11	1.0	0.0	1.0
9252	"XLOC_026582"	"CD74"	chr18	+	60811293	60811485	60810327	60810418	60811858	60811921	9252	1106	8087	6395	60941	97	49	1.30451205393e-13	1.2361556223e-10	0.065	0.05	0.015
