EntrezGeneID,GeneSymbol,TranscriptsNumber,UniqueExonsPerGene,MaxExonPerTranscript
11287,Pzp,1,36,36
11298,Aanat,1,4,4
11302,Aatk,3,16,14
11303,Abca1,1,50,50
11304,Abca4,1,50,50
11305,Abca2,2,49,48
11306,Abcb7,1,16,16
11307,Abcg1,1,15,15
11308,Abi1,8,12,11
11350,Abl1,5,17,12
11352,Abl2,2,14,13
11354,Scgb1b27,1,3,3
11363,Acadl,1,11,11
11364,Acadm,1,12,12
11370,Acadvl,1,20,20
11409,Acads,1,10,10
11416,Slc33a1,3,8,7
11418,Asic2,2,12,10
11419,Asic1,2,13,12
11421,Ace,3,27,25
11423,Ache,2,5,5
11425,Apoc4,1,3,3
11426,Macf1,2,98,98
11428,Aco1,1,21,21
11429,Aco2,1,18,18
11430,Acox1,2,15,14
11431,Acp1,2,7,6
11432,Acp2,2,12,11
11433,Acp5,3,7,5
11434,Acr,5,10,5
11435,Chrna1,1,9,9
11438,Chrna4,1,6,6
11440,Chrna6,1,6,6
11441,Chrna7,1,10,10
11443,Chrnb1,1,11,11
11444,Chrnb2,1,6,6
11447,Chrnd,1,12,12
11448,Chrne,1,12,12
11449,Chrng,1,12,12
11450,Adipoq,1,3,3
11451,Acrv1,1,4,4
11459,Acta1,2,8,8
11461,Actb,1,6,6
11464,Actc1,1,7,7
11465,Actg1,2,7,7
11468,Actg2,1,9,9
11470,Actl7a,1,1,1
11471,Actl7b,1,1,1
11472,Actn2,1,21,21
11474,Actn3,1,21,21
11475,Acta2,1,9,9
11477,Acvr1,5,15,13
11479,Acvr1b,1,9,9
11480,Acvr2a,1,11,11
11481,Acvr2b,2,12,11
11482,Acvrl1,5,14,12
11484,Aspa,1,6,6
11486,Ada,2,13,12
11487,Adam10,1,16,16
11488,Adam11,2,28,27
11489,Adam12,1,23,23
11490,Adam15,2,23,23
11491,Adam17,3,21,20
11492,Adam19,4,29,23
11495,Adam2,1,21,21
11496,Adam22,5,33,31
11497,Adam3,2,23,22
11498,Adam4,1,1,1
11499,Adam5,4,22,21
11500,Adam7,1,23,23
11501,Adam8,2,25,24
11502,Adam9,2,24,23
11504,Adamts1,1,9,9
11512,Adcy6,2,23,22
11513,Adcy7,4,31,28
11514,Adcy8,3,18,18
11515,Adcy9,2,13,12
11516,Adcyap1,3,8,6
11517,Adcyap1r1,2,17,17
11518,Add1,11,23,17
11519,Add2,6,19,16
11520,Plin2,1,8,8
11522,Adh1,1,9,9
11529,Adh7,1,9,9
11532,Adh5,2,11,9
11534,Adk,2,12,11
11535,Adm,1,4,4
11536,Gpr182,1,2,2
11537,Cfd,3,7,5
11538,Adnp,3,5,5
11539,Adora1,5,6,3
11540,Adora2a,3,5,3
11541,Adora2b,1,2,2
11542,Adora3,1,2,2
11544,Adprh,1,4,4
11545,Parp1,1,23,23
11546,Parp2,1,16,16
11548,Adra1b,3,6,5
11549,Adra1a,4,7,4
11550,Adra1d,1,2,2
11551,Adra2a,1,1,1
11552,Adra2b,1,1,1
11553,Adra2c,1,1,1
11554,Adrb1,1,1,1
11555,Adrb2,1,1,1
11556,Adrb3,1,4,4
11564,Adsl,1,13,13
11565,Adssl1,1,13,13
11566,Adss,1,13,13
11567,Avil,1,20,20
11568,Aebp1,2,22,21
11569,Aebp2,5,15,9
11571,Crisp1,1,8,8
11572,Crisp3,1,8,8
11576,Afp,1,15,15
11593,Aga,2,11,9
11595,Acan,2,18,18
11596,Ager,4,14,11
11600,Angpt1,2,10,9
11601,Angpt2,1,9,9
11602,Angpt4,1,9,9
11603,Agrn,3,42,38
11604,Agrp,2,6,5
11605,Gla,1,7,7
11606,Agt,1,5,5
11607,Agtr1a,1,3,3
11608,Agtr1b,1,2,2
11609,Agtr2,1,3,3
11610,Agtrap,2,6,5
11611,Agxt,2,12,11
11614,Nr0b1,1,2,2
11615,Gm4737,1,1,1
11622,Ahr,2,11,11
11624,Ahrr,2,11,11
11625,Ahsg,3,10,7
11628,Aicda,1,5,5
11629,Aif1,3,9,8
11630,Crybg1,3,25,22
11632,Aip,2,8,7
11634,Aire,12,16,14
