Gene stable ID	Zebrafish gene stable ID	Zebrafish homology type	Tropical clawed frog gene stable ID	Tropical clawed frog homology type
ENSRNOG00000031780				
ENSRNOG00000030478				
ENSRNOG00000029171				
ENSRNOG00000081248				
ENSRNOG00000032112				
ENSRNOG00000030644	ENSDARG00000063895	ortholog_one2one	ENSXETG00000034361	ortholog_one2one
ENSRNOG00000029301				
ENSRNOG00000033545				
ENSRNOG00000032274				
ENSRNOG00000031033	ENSDARG00000063899	ortholog_one2one	ENSXETG00000034365	ortholog_one2one
ENSRNOG00000029677				
ENSRNOG00000033932				
ENSRNOG00000032609				
ENSRNOG00000031333				
ENSRNOG00000029954				
ENSRNOG00000034234	ENSDARG00000063905	ortholog_one2one	ENSXETG00000034371	ortholog_one2one
ENSRNOG00000032882				
ENSRNOG00000031685				
ENSRNOG00000030371	ENSDARG00000063908	ortholog_one2one	ENSXETG00000034374	ortholog_one2one
ENSRNOG00000029070				
ENSRNOG00000033299				
ENSRNOG00000031979	ENSDARG00000063911	ortholog_one2one	ENSXETG00000034377	ortholog_one2one
ENSRNOG00000030700	ENSDARG00000063912	ortholog_one2one	ENSXETG00000034378	ortholog_one2one
ENSRNOG00000029389				
ENSRNOG00000033615	ENSDARG00000063914	ortholog_one2one	ENSXETG00000034380	ortholog_one2one
ENSRNOG00000032320				
ENSRNOG00000031053				
ENSRNOG00000029707	ENSDARG00000063917	ortholog_one2one	ENSXETG00000034383	ortholog_one2one
ENSRNOG00000033957				
ENSRNOG00000032578				
ENSRNOG00000031667				
ENSRNOG00000029971	ENSDARG00000063921	ortholog_one2one	ENSXETG00000034387	ortholog_one2one
ENSRNOG00000029042	ENSDARG00000063922	ortholog_one2one	ENSXETG00000034388	ortholog_one2one
ENSRNOG00000032997				
ENSRNOG00000031766	ENSDARG00000063924	ortholog_one2one	ENSXETG00000034390	ortholog_one2one
ENSRNOG00000030339				
ENSRNOG00000029145				
ENSRNOG00000055439	ENSDARG00000076339	ortholog_one2many	ENSXETG00000015465	ortholog_one2many
ENSRNOG00000033837			ENSXETG00000020131	ortholog_one2one
ENSRNOG00000009771	ENSDARG00000055843	ortholog_one2many	ENSXETG00000002106	ortholog_one2one
ENSRNOG00000009771	ENSDARG00000103903	ortholog_one2many	ENSXETG00000002106	ortholog_one2one
ENSRNOG00000026392			ENSXETG00000020440	ortholog_one2one
ENSRNOG00000013535	ENSDARG00000014522	ortholog_one2one	ENSXETG00000016687	ortholog_one2one
ENSRNOG00000022745	ENSDARG00000011723	ortholog_one2one	ENSXETG00000005865	ortholog_one2one
ENSRNOG00000013451	ENSDARG00000055563	ortholog_one2one	ENSXETG00000016701	ortholog_one2one
ENSRNOG00000084385				
ENSRNOG00000084709				
ENSRNOG00000080093				
ENSRNOG00000087638				
ENSRNOG00000073027				
ENSRNOG00000089327				
ENSRNOG00000075869				
ENSRNOG00000080028				
ENSRNOG00000071605				
ENSRNOG00000088265				
ENSRNOG00000089807				
ENSRNOG00000084022				
ENSRNOG00000074309				
ENSRNOG00000079678				
ENSRNOG00000082600				
ENSRNOG00000078287				
ENSRNOG00000072312				
ENSRNOG00000085254				
ENSRNOG00000066506				
ENSRNOG00000083784				
ENSRNOG00000077219				
ENSRNOG00000075642				
ENSRNOG00000081696				
ENSRNOG00000068483				
ENSRNOG00000056460				
ENSRNOG00000068641				
ENSRNOG00000053777				
ENSRNOG00000082955				
ENSRNOG00000009523	ENSDARG00000101432	ortholog_one2one	ENSXETG00000047216	ortholog_one2one
ENSRNOG00000009830	ENSDARG00000039699	ortholog_one2one	ENSXETG00000010243	ortholog_one2one
ENSRNOG00000009922	ENSDARG00000099953	ortholog_one2one		
ENSRNOG00000009954	ENSDARG00000021885	ortholog_one2one	ENSXETG00000030536	ortholog_one2one
ENSRNOG00000082455	ENSDARG00000109337	ortholog_one2one		
ENSRNOG00000010117	ENSDARG00000076815	ortholog_one2one	ENSXETG00000010241	ortholog_one2one
ENSRNOG00000010230				
ENSRNOG00000036572	ENSDARG00000069832	ortholog_one2one	ENSXETG00000032110	ortholog_one2one
ENSRNOG00000010958	ENSDARG00000032102	ortholog_one2one		
ENSRNOG00000011439			ENSXETG00000010230	ortholog_one2one
ENSRNOG00000078077				
ENSRNOG00000070257	ENSDARG00000110710	ortholog_many2many		
ENSRNOG00000070257	ENSDARG00000057707	ortholog_many2many		
ENSRNOG00000012034	ENSDARG00000058492	ortholog_many2many	ENSXETG00000026362	ortholog_many2many
ENSRNOG00000012034	ENSDARG00000053709	ortholog_many2many	ENSXETG00000026362	ortholog_many2many
ENSRNOG00000012034	ENSDARG00000102234	ortholog_many2many	ENSXETG00000026362	ortholog_many2many
ENSRNOG00000012034	ENSDARG00000079251	ortholog_many2many	ENSXETG00000026362	ortholog_many2many
ENSRNOG00000012034	ENSDARG00000041569	ortholog_many2many	ENSXETG00000026362	ortholog_many2many
ENSRNOG00000012034	ENSDARG00000041595	ortholog_many2many	ENSXETG00000026362	ortholog_many2many
ENSRNOG00000012034	ENSDARG00000062376	ortholog_many2many	ENSXETG00000026362	ortholog_many2many
ENSRNOG00000036571	ENSDARG00000058492	ortholog_many2many	ENSXETG00000026362	ortholog_many2many
