cluster	status	loglr	df	p	p.adjust	genes
chr1:clu_15712_-	Success	0.411493543759718	1	0.364308256758037	0.501168245880019	EXOSC10
chr1:clu_16796_-	Success	4.64704996396154	2	0.00958985064770419	0.0409492915845178	ADSS2
chr10:clu_21389_-	Success	0.422393304860634	5	0.974089199841802	0.982275799184813	ANXA7
chr16:clu_13711_-	Success	1.68585625765445	2	0.185285711704046	0.31886786299142	RPS2
chr1:clu_16751_-	Success	2.64029507248324	4	0.259699436467808	0.401659332006919	TARBP1
chr19:clu_15439_+	Success	0.353376690521259	1	0.40052372218302	0.533925060264504	DHX34
chr6:clu_13633_+	Success	0.348066028178891	1	0.404086439555452	0.537236493862407	TMEM181
chr3:clu_10702_+	Success	2.0619462880897	1	0.0422816855463456	0.115991820345885	RASA2
chr1:clu_7700_+	Success	2.01573537885361	1	0.0446589919451413	0.120194213447009	SMAP2
chr1:clu_7891_+	Success	1.25792721808216	2	0.284242589207164	0.426538029832312	STXBP3
chr1:clu_16786_-	Success	3.5568023934203	2	0.0285299064313518	0.0884657179262481	HEATR1
chr15:clu_1381_-	Success	10.7770191405805	3	8.07622185413662e-05	0.00115078616231903	PLCB2
chr1:clu_15788_-	Success	1.23868229334084	2	0.289765792796737	0.431612755990068	UBR4
chr1:clu_8030_+	Success	12.9271490399042	12	0.0112549675311569	0.0457500097770574	PLEKHO1
chr11:clu_21773_+	Success	2.5295541903954	2	0.0796945409593748	0.178697447839722	TTC17
chr17:clu_11392_-	Success	14.5355351292264	2	4.86740295989614e-07	1.98425839218127e-05	SNF8
chr3:clu_2566_-	Success	3.06407378508766	2	0.0466970733662648	0.123655435769283	TFRC
chr1:clu_7587_+	Success	0.566421017851212	1	0.287169938478926	0.429577483396959	SYTL1
chr19:clu_15200_+	Success	2.21137112457654	3	0.219285894497502	0.357651591701789	UBA52
chr17:clu_10957_-	Success	3.89532849183516	1	0.00525170953551856	0.026761572868043	SMG6
chr3:clu_1992_-	Success	11.9070519804015	3	2.73147031387266e-05	0.000500661048430094	TBC1D5
chr2:clu_7030_-	Success	7.25392605252608	1	0.00013957654582442	0.00175304825705831	BIN1
chr1:clu_8308_+	Success	3.85604259164779	2	0.0211515393919787	0.0716399886753746	NEK7
chr15:clu_1379_-	Success	4.36679755704154	2	0.0126918203868747	0.049876937817688	BMF
chr16:clu_13742_-	Success	10.1656074472921	7	0.00489698627505479	0.0254522930265367	CORO7-PAM16,CORO7
chr19:clu_4261_-	Success	0.417260947087811	2	0.658848972789785	0.746727314599307	DNMT1
chr4:clu_22644_+	Success	0.361984023864636	1	0.394845394067412	0.529066559229563	NAA15
chr8:clu_12223_+	Success	0.53297567104687	2	0.586856078265291	0.690187664838754	CCAR2
chr1:clu_8457_+	Success	2.48739543789316	3	0.173652414516398	0.304977841668061	COQ8A
chr19:clu_4423_-	Success	12.9715220485814	9	0.00208728556180569	0.0134884251851141	TYROBP
chr14:clu_9245_-	Success	1.1231751056629	1	0.133929959557655	0.255678972669421	HECTD1
chr3:clu_2035_-	Success	0.0171949162447618	2	0.982952072634592	0.988855513161207	CLASP2
chr7:clu_23299_+	Success	7.05829997792557	3	0.00275066068565687	0.0165902593511383	RBM33
chrX:clu_22_-	Success	9.89198953165464	3	0.000188168971968439	0.00222960233322053	PRKX
chr9:clu_5656_-	Success	1.08068434287293	3	0.539597562166895	0.652018538442935	ABCA1
chr3:clu_10237_+	Success	4.49444804327504	3	0.0294388839884143	0.0902913414278451	EDEM1
chr3:clu_10432_+	Success	1.19476804763224	1	0.122149872123535	0.239931677300124	NBEAL2
chr14:clu_19117_+	Success	5.44575801079191	7	0.143421540296815	0.268303349339538	OXA1L
chr15:clu_1559_-	Success	0.061435194303499	1	0.725941934808285	0.795442299196479	VPS13C
chr19:clu_15201_+	Success	1.71987335049198	2	0.179088827987209	0.311853984332466	UBA52
chr1:clu_7783_+	Success	0.57683069295274	1	0.282784002946583	0.425143496121061	LRRC42
chr4:clu_22657_+	Success	1.77371295622561	2	0.169701722551367	0.300068284383198	SMARCA5
chr19:clu_4480_-	Success	2.41380581296085	2	0.0894741239875977	0.193570745475982	DEDD2
chr14:clu_9288_-	Success	1.9801479598591	4	0.411405879831852	0.544400834962477	MIS18BP1
chr9:clu_5491_-	Success	2.2732595885177	2	0.102975973133	0.21347230896509	TLN1
chr3:clu_10357_+	Success	6.59168006323716	4	0.0104137613151277	0.0432555889833859	OXSR1
chr4:clu_21013_-	Success	12.2908758418057	4	6.10511775726647e-05	0.000951948223202158	OTUD4
chr16:clu_13919_-	Success	11.616364016666	2	9.01731430906757e-06	0.000202596179921388	TUFM
chr16:clu_2718_+	Success	0.423017964680753	1	0.357676178318038	0.495388095356903	SNN
chr21:clu_5304_+	Success	0.289022422888365	1	0.447079700983417	0.575798902347552	MORC3
chr4:clu_20919_-	Success	2.20614060649294	2	0.110124844529253	0.223380112069219	ABRAXAS1
chr12:clu_6269_+	Success	4.27851968782113	3	0.035798595525936	0.103563720777665	LEMD3
chr3:clu_2134_-	Success	0.108173592223466	1	0.641837387757628	0.733788682665465	USP19
chr10:clu_17284_+	Success	4.28415238237721	2	0.0137853012348918	0.0529443192490124	PTPRE
chr12:clu_14615_-	Success	2.53424052032662	1	0.0243647245763391	0.0793412253520862	CDK17
chr1:clu_7960_+	Success	0.593227192137419	2	0.552541247572295	0.66306854687334	ATP1A1
