Gene stable ID	Tropical clawed frog gene stable ID	Tropical clawed frog homology type
ENSDARG00000063344	ENSXETG00000036478	ortholog_one2one
ENSDARG00000097685	ENSXETG00000040896	ortholog_many2many
ENSDARG00000097685	ENSXETG00000046338	ortholog_many2many
ENSDARG00000097685	ENSXETG00000043307	ortholog_many2many
ENSDARG00000097685	ENSXETG00000043861	ortholog_many2many
ENSDARG00000036008		
ENSDARG00000069301	ENSXETG00000042724	ortholog_one2one
ENSDARG00000104901	ENSXETG00000021099	ortholog_one2one
ENSDARG00000031836		
ENSDARG00000103391	ENSXETG00000018133	ortholog_one2one
ENSDARG00000030463	ENSXETG00000047601	ortholog_one2one
ENSDARG00000103031		
ENSDARG00000070447	ENSXETG00000017909	ortholog_one2one
ENSDARG00000080018		
ENSDARG00000036109	ENSXETG00000047445	ortholog_one2many
ENSDARG00000029612	ENSXETG00000007727	ortholog_one2one
ENSDARG00000075759	ENSXETG00000012217	ortholog_one2one
ENSDARG00000068484		
ENSDARG00000057635	ENSXETG00000012889	ortholog_one2one
ENSDARG00000032737	ENSXETG00000019504	ortholog_one2many
ENSDARG00000053517	ENSXETG00000016627	ortholog_one2one
ENSDARG00000111826	ENSXETG00000024429	ortholog_one2many
ENSDARG00000098335		
ENSDARG00000092715		
ENSDARG00000095834		
ENSDARG00000015793	ENSXETG00000031075	ortholog_one2one
ENSDARG00000044573	ENSXETG00000004743	ortholog_one2many
ENSDARG00000025206	ENSXETG00000017094	ortholog_one2many
ENSDARG00000042189		
ENSDARG00000076270	ENSXETG00000006882	ortholog_one2one
ENSDARG00000045415	ENSXETG00000046867	ortholog_one2many
ENSDARG00000100099	ENSXETG00000045785	ortholog_one2many
ENSDARG00000087916	ENSXETG00000030896	ortholog_one2many
ENSDARG00000023058	ENSXETG00000012944	ortholog_one2many
ENSDARG00000100738	ENSXETG00000013223	ortholog_one2many
ENSDARG00000100738	ENSXETG00000042029	ortholog_one2many
ENSDARG00000097888		
ENSDARG00000067711	ENSXETG00000031105	ortholog_one2one
ENSDARG00000091834		
ENSDARG00000068468	ENSXETG00000032283	ortholog_one2one
ENSDARG00000101806	ENSXETG00000045087	ortholog_many2many
ENSDARG00000101806	ENSXETG00000042245	ortholog_many2many
ENSDARG00000101806	ENSXETG00000047901	ortholog_many2many
ENSDARG00000101806	ENSXETG00000044557	ortholog_many2many
ENSDARG00000101806	ENSXETG00000047215	ortholog_many2many
ENSDARG00000101806	ENSXETG00000045559	ortholog_many2many
ENSDARG00000101806	ENSXETG00000027192	ortholog_many2many
ENSDARG00000101806	ENSXETG00000046015	ortholog_many2many
ENSDARG00000101806	ENSXETG00000045034	ortholog_many2many
ENSDARG00000101806	ENSXETG00000041986	ortholog_many2many
ENSDARG00000101806	ENSXETG00000001428	ortholog_many2many
ENSDARG00000101806	ENSXETG00000043805	ortholog_many2many
ENSDARG00000101806	ENSXETG00000043580	ortholog_many2many
ENSDARG00000101806	ENSXETG00000048936	ortholog_many2many
ENSDARG00000105445		
ENSDARG00000078805	ENSXETG00000004744	ortholog_one2one
ENSDARG00000058893	ENSXETG00000025012	ortholog_one2one
ENSDARG00000088881	ENSXETG00000030651	ortholog_one2one
ENSDARG00000095893		
ENSDARG00000062376		
ENSDARG00000039490	ENSXETG00000031018	ortholog_one2many
ENSDARG00000020986	ENSXETG00000004036	ortholog_one2one
ENSDARG00000098626		
ENSDARG00000089187		
ENSDARG00000101165		
ENSDARG00000003175	ENSXETG00000019453	ortholog_one2many
ENSDARG00000074846		
ENSDARG00000026759		
ENSDARG00000098213		
ENSDARG00000033099	ENSXETG00000017738	ortholog_one2one
ENSDARG00000096970		
ENSDARG00000024184	ENSXETG00000012236	ortholog_one2one
ENSDARG00000076901		
ENSDARG00000009341	ENSXETG00000030693	ortholog_one2one
ENSDARG00000100546		
ENSDARG00000090804	ENSXETG00000008486	ortholog_one2many
ENSDARG00000016977	ENSXETG00000020728	ortholog_one2many
ENSDARG00000058538	ENSXETG00000016124	ortholog_one2many
ENSDARG00000102175		
ENSDARG00000018153	ENSXETG00000015581	ortholog_one2many
ENSDARG00000054533	ENSXETG00000043649	ortholog_one2one
ENSDARG00000092243		
ENSDARG00000038154	ENSXETG00000031871	ortholog_one2one
ENSDARG00000036420		
ENSDARG00000098726	ENSXETG00000013410	ortholog_one2one
ENSDARG00000098677	ENSXETG00000045785	ortholog_one2many
ENSDARG00000096511		
ENSDARG00000037652	ENSXETG00000017304	ortholog_one2one
ENSDARG00000027963	ENSXETG00000007311	ortholog_one2many
ENSDARG00000097726		
ENSDARG00000105456		
ENSDARG00000095680		
ENSDARG00000011821	ENSXETG00000001628	ortholog_one2one
ENSDARG00000095576		
ENSDARG00000035875	ENSXETG00000001004	ortholog_one2many
ENSDARG00000057074	ENSXETG00000047992	ortholog_one2many
ENSDARG00000075181	ENSXETG00000048975	ortholog_many2many
ENSDARG00000075181	ENSXETG00000038848	ortholog_many2many
ENSDARG00000075181	ENSXETG00000006423	ortholog_many2many
ENSDARG00000077950	ENSXETG00000012843	ortholog_one2one
ENSDARG00000079355	ENSXETG00000011704	ortholog_one2many
ENSDARG00000044251	ENSXETG00000012564	ortholog_one2many
ENSDARG00000096398		
ENSDARG00000003144	ENSXETG00000024780	ortholog_one2one
ENSDARG00000016968	ENSXETG00000043970	ortholog_one2one
ENSDARG00000090063	ENSXETG00000007676	ortholog_one2one
ENSDARG00000033789	ENSXETG00000025316	ortholog_one2one
ENSDARG00000017522	ENSXETG00000000856	ortholog_one2one
ENSDARG00000077860	ENSXETG00000018337	ortholog_one2one
ENSDARG00000097025		
ENSDARG00000052097	ENSXETG00000007044	ortholog_many2many
ENSDARG00000052097	ENSXETG00000001933	ortholog_many2many
ENSDARG00000098675		
ENSDARG00000045015	ENSXETG00000009657	ortholog_one2one
ENSDARG00000101490	ENSXETG00000004382	ortholog_one2many
ENSDARG00000008100	ENSXETG00000018279	ortholog_one2many
ENSDARG00000041340	ENSXETG00000022612	ortholog_one2one
ENSDARG00000087757		
ENSDARG00000110990		
ENSDARG00000092491		
ENSDARG00000045873	ENSXETG00000001426	ortholog_one2many
ENSDARG00000088072	ENSXETG00000039328	ortholog_one2many
ENSDARG00000096208		
ENSDARG00000070874		
ENSDARG00000105588		
ENSDARG00000075339		
ENSDARG00000045641	ENSXETG00000009728	ortholog_one2one
ENSDARG00000103025	ENSXETG00000016587	ortholog_one2one
ENSDARG00000061439		
ENSDARG00000102553		
ENSDARG00000104269		
ENSDARG00000052520	ENSXETG00000019854	ortholog_one2many
ENSDARG00000018542	ENSXETG00000014330	ortholog_one2one
ENSDARG00000074253	ENSXETG00000022490	ortholog_one2one
ENSDARG00000078768	ENSXETG00000030092	ortholog_one2one
ENSDARG00000100858	ENSXETG00000039038	ortholog_many2many
ENSDARG00000100858	ENSXETG00000043563	ortholog_many2many
ENSDARG00000100858	ENSXETG00000048262	ortholog_many2many
ENSDARG00000062357	ENSXETG00000047202	ortholog_one2one
ENSDARG00000019135	ENSXETG00000015093	ortholog_one2many
ENSDARG00000068711	ENSXETG00000046870	ortholog_one2one
ENSDARG00000043002	ENSXETG00000021046	ortholog_many2many
ENSDARG00000043002	ENSXETG00000049492	ortholog_many2many
ENSDARG00000043002	ENSXETG00000035892	ortholog_many2many
ENSDARG00000043002	ENSXETG00000036625	ortholog_many2many
ENSDARG00000043002	ENSXETG00000039591	ortholog_many2many
ENSDARG00000043002	ENSXETG00000037694	ortholog_many2many
ENSDARG00000090854	ENSXETG00000037324	ortholog_one2one
ENSDARG00000056683	ENSXETG00000041359	ortholog_one2one
ENSDARG00000098676		
ENSDARG00000012446	ENSXETG00000023714	ortholog_one2many
ENSDARG00000078567	ENSXETG00000005620	ortholog_one2one
ENSDARG00000021444	ENSXETG00000026274	ortholog_many2many
ENSDARG00000021444	ENSXETG00000043629	ortholog_many2many
ENSDARG00000021444	ENSXETG00000007068	ortholog_many2many
ENSDARG00000021444	ENSXETG00000015481	ortholog_many2many
ENSDARG00000021444	ENSXETG00000036418	ortholog_many2many
ENSDARG00000021444	ENSXETG00000037179	ortholog_many2many
ENSDARG00000021444	ENSXETG00000030775	ortholog_many2many
ENSDARG00000029263	ENSXETG00000021967	ortholog_one2one
ENSDARG00000030472	ENSXETG00000012500	ortholog_one2many
ENSDARG00000042515	ENSXETG00000017880	ortholog_one2one
ENSDARG00000042018	ENSXETG00000002577	ortholog_one2many
ENSDARG00000036943	ENSXETG00000008912	ortholog_one2one
ENSDARG00000015476	ENSXETG00000007807	ortholog_one2one
ENSDARG00000089954	ENSXETG00000016255	ortholog_one2many
ENSDARG00000002355	ENSXETG00000005794	ortholog_one2one
ENSDARG00000069537		
ENSDARG00000044457	ENSXETG00000023006	ortholog_one2one
ENSDARG00000087798	ENSXETG00000045752	ortholog_one2one
ENSDARG00000101106		
ENSDARG00000093521	ENSXETG00000016436	ortholog_many2many
ENSDARG00000093521	ENSXETG00000040687	ortholog_many2many
ENSDARG00000045443	ENSXETG00000034925	ortholog_one2many
ENSDARG00000058958	ENSXETG00000007044	ortholog_many2many
ENSDARG00000058958	ENSXETG00000001933	ortholog_many2many
ENSDARG00000019293	ENSXETG00000017776	ortholog_one2many
ENSDARG00000094455		
ENSDARG00000097849		
ENSDARG00000078167	ENSXETG00000045785	ortholog_one2many
ENSDARG00000115890		
ENSDARG00000101085	ENSXETG00000043471	ortholog_one2one
ENSDARG00000007250	ENSXETG00000013513	ortholog_one2one
ENSDARG00000113690		
ENSDARG00000011449	ENSXETG00000015460	ortholog_one2one
ENSDARG00000099200		
ENSDARG00000040250		
ENSDARG00000044753	ENSXETG00000014969	ortholog_one2one
ENSDARG00000006560	ENSXETG00000011413	ortholog_one2one
ENSDARG00000099086		
ENSDARG00000074302	ENSXETG00000048084	ortholog_one2many
ENSDARG00000061371	ENSXETG00000012238	ortholog_one2many
ENSDARG00000063574	ENSXETG00000002001	ortholog_one2one
ENSDARG00000086471	ENSXETG00000039425	ortholog_one2one
ENSDARG00000002377	ENSXETG00000043606	ortholog_one2one
ENSDARG00000052129	ENSXETG00000031956	ortholog_one2many
ENSDARG00000098029	ENSXETG00000048809	ortholog_one2one
ENSDARG00000097268		
ENSDARG00000059773	ENSXETG00000014743	ortholog_one2many
ENSDARG00000095453		
ENSDARG00000097673		
ENSDARG00000056740		
ENSDARG00000033446		
ENSDARG00000099899	ENSXETG00000045785	ortholog_one2many
ENSDARG00000077253	ENSXETG00000002842	ortholog_one2one
ENSDARG00000096836		
ENSDARG00000105063		
ENSDARG00000100694	ENSXETG00000017086	ortholog_one2many
ENSDARG00000093799	ENSXETG00000008160	ortholog_one2one
ENSDARG00000092995		
ENSDARG00000052851		
ENSDARG00000009844		
ENSDARG00000018871	ENSXETG00000030501	ortholog_one2one
ENSDARG00000102608		
ENSDARG00000003818	ENSXETG00000011176	ortholog_one2one
ENSDARG00000019156	ENSXETG00000031041	ortholog_one2one
ENSDARG00000038615	ENSXETG00000017004	ortholog_one2many
ENSDARG00000092774	ENSXETG00000018640	ortholog_one2one
ENSDARG00000092082		
ENSDARG00000087457		
ENSDARG00000034734	ENSXETG00000002222	ortholog_one2one
ENSDARG00000079283		
ENSDARG00000021913		
ENSDARG00000105120	ENSXETG00000010452	ortholog_one2one
ENSDARG00000098157		
ENSDARG00000102929	ENSXETG00000046864	ortholog_one2many
ENSDARG00000073688	ENSXETG00000014194	ortholog_one2many
ENSDARG00000103180		
ENSDARG00000090814		
ENSDARG00000027141	ENSXETG00000036095	ortholog_one2many
ENSDARG00000102434		
ENSDARG00000099967		
ENSDARG00000095872		
ENSDARG00000052142	ENSXETG00000000572	ortholog_one2many
ENSDARG00000093111		
ENSDARG00000069758		
ENSDARG00000039218	ENSXETG00000048252	ortholog_one2one
ENSDARG00000010717	ENSXETG00000022956	ortholog_one2one
ENSDARG00000020449	ENSXETG00000047304	ortholog_one2one
ENSDARG00000038792	ENSXETG00000001058	ortholog_one2one
ENSDARG00000095204		
ENSDARG00000017163		
ENSDARG00000044015	ENSXETG00000010546	ortholog_one2many
ENSDARG00000101456		
ENSDARG00000076801	ENSXETG00000002681	ortholog_one2one
ENSDARG00000003206	ENSXETG00000018684	ortholog_one2many
ENSDARG00000105543		
