EntrezGeneID,GeneSymbol,TranscriptsNumber,UniqueExonsPerGene,MaxExonPerTranscript
1,A1BG,1,8,8
2,A2M,4,39,37
9,NAT1,10,12,6
10,NAT2,1,2,2
12,SERPINA3,1,5,5
13,AADAC,1,5,5
14,AAMP,2,12,11
15,AANAT,2,9,7
16,AARS1,1,21,21
18,ABAT,3,18,16
19,ABCA1,1,50,50
20,ABCA2,2,50,49
21,ABCA3,1,33,33
22,ABCB7,5,17,16
23,ABCF1,2,50,26
24,ABCA4,1,50,50
25,ABL1,2,12,11
26,AOC1,2,6,5
27,ABL2,8,17,13
28,ABO,1,7,7
29,ABR,8,66,23
30,ACAA1,2,14,12
31,ACACA,5,119,60
32,ACACB,1,53,53
33,ACADL,1,11,11
34,ACADM,5,17,13
35,ACADS,2,11,10
36,ACADSB,2,13,11
37,ACADVL,4,24,21
38,ACAT1,1,12,12
39,ACAT2,2,10,9
40,ASIC2,2,11,10
41,ASIC1,3,14,12
43,ACHE,8,11,5
47,ACLY,4,34,29
48,ACO1,3,24,22
49,ACR,1,5,5
50,ACO2,1,18,18
51,ACOX1,3,16,14
52,ACP1,3,8,6
53,ACP2,6,14,11
54,ACP5,5,10,7
55,ACP3,3,12,11
56,ACRV1,4,8,5
58,ACTA1,1,7,7
59,ACTA2,3,11,9
60,ACTB,1,6,6
70,ACTC1,1,7,7
71,ACTG1,2,7,6
72,ACTG2,2,9,9
81,ACTN4,2,42,21
86,ACTL6A,3,17,14
87,ACTN1,3,24,22
88,ACTN2,3,25,23
89,ACTN3,2,22,21
90,ACVR1,7,18,12
91,ACVR1B,3,12,10
92,ACVR2A,3,14,12
93,ACVR2B,1,11,11
94,ACVRL1,2,10,10
95,ACY1,5,18,15
97,ACYP1,3,5,3
98,ACYP2,6,13,7
100,ADA,3,14,12
101,ADAM8,3,25,23
102,ADAM10,2,16,16
103,ADAR,10,23,16
104,ADARB1,6,20,13
105,ADARB2,1,10,10
107,ADCY1,2,24,20
108,ADCY2,1,25,25
109,ADCY3,2,23,22
111,ADCY5,2,22,21
112,ADCY6,1,22,22
113,ADCY7,2,28,26
114,ADCY8,1,18,18
115,ADCY9,1,11,11
116,ADCYAP1,2,5,5
117,ADCYAP1R1,4,19,17
118,ADD1,13,24,18
119,ADD2,5,20,17
120,ADD3,7,22,16
123,PLIN2,1,8,8
124,ADH1A,1,9,9
125,ADH1B,2,10,10
126,ADH1C,1,9,9
127,ADH4,3,11,10
128,ADH5,1,9,9
130,ADH6,2,10,9
131,ADH7,2,10,9
132,ADK,6,13,11
133,ADM,1,4,4
134,ADORA1,4,8,4
135,ADORA2A,5,7,4
136,ADORA2B,1,2,2
140,ADORA3,3,4,2
141,ADPRH,4,7,5
142,PARP1,1,23,23
143,PARP4,1,34,34
146,ADRA1D,1,2,2
147,ADRA1B,1,2,2
148,ADRA1A,7,8,3
150,ADRA2A,1,1,1
151,ADRA2B,1,1,1
152,ADRA2C,1,1,1
153,ADRB1,1,1,1
154,ADRB2,1,1,1
155,ADRB3,1,2,2
156,GRK2,1,21,21
157,GRK3,2,23,21
158,ADSL,4,17,14
159,ADSS2,2,16,13
160,AP2A1,2,24,24
161,AP2A2,2,43,22
162,AP1B1,3,25,23
163,AP2B1,2,22,22
164,AP1G1,2,25,24
165,AEBP1,1,21,21
166,TLE5,3,9,7
167,CRISP1,3,9,8
173,AFM,1,15,15
